movie_name,Country,Release Date,Production Company,IMDB Rating,Metascore,TomatoMeter,production_year,movie_odid,production_budget,domestic_box_office,international_box_office,rating,creative_type,source,production_method,genre,sequel,running_time,Total Box Office,ROI
Flags of Our Fathers,USA,20 Oct 2006,"Warner Bros., Malpaso Company, DreamWorks SKG, Amblin Entertainment",7.0,79,37/100,2006,16830100,53000000,33602376,30055565,R,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0.0,132.0,63657941,120.11%
"You, Me and Dupree",USA,14 Jul 2006,Universal Pictures,5.6,46,26%,2006,6310100,54000000,75802010,54600000,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0.0,109.0,130402010,241.49%
The Pursuit of Happyness,USA,15 Dec 2006,"Overbrook Entertainment, Columbia Pictures Corporation, Escape Artists",8.0,64,33%,2006,1590100,55000000,162586036,144725057,PG-13,Dramatization,Based on Real Life Events,Live Action,Drama,0.0,117.0,307311093,558.75%
All the King's Men,"Germany, USA",22 Sep 2006,N/A,6.2,37,35%,2006,41880100,55000000,7221458,2300000,PG-13,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0.0,,9521458,17.31%
The Shaggy Dog,USA,10 Mar 2006,Mandeville Films,4.4,43,59%,2006,8480100,60000000,61123569,26000000,PG,Fantasy,Remake,Live Action,Comedy,0.0,98.0,87123569,145.21%
The Black Dahlia,"USA, Germany, UK, Israel, Bulgaria",15 Sep 2006,Signature Pictures,5.6,49,12%,2006,23100100,60000000,22672813,26565712,R,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,0.0,121.0,49238525,82.06%
Flyboys,"UK, USA",22 Sep 2006,"Electric Entertainment, Ingenious Film Partners",6.5,47,48%,2006,32730100,60000000,13090630,1725749,PG-13,Dramatization,Based on Real Life Events,Live Action,Drama,0.0,139.0,14816379,24.69%
The Sentinel,USA,21 Apr 2006,"New Regency Pictures, 20th Century Fox, Further Films, Regency Enterprises",6.1,49,67%,2006,15670100,60000000,36280697,41800000,PG-13,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,0.0,,78080697,130.13%
Perfume: The Story of a Murderer,"Germany, France, Spain, USA, Belgium",05 Jan 2007,"Constantin Film Produktion, Nouvelles Éditions de Films [fr], Castelao Producciones S.A.",7.5,56,37%,2006,54810100,63700000,2223293,131380170,R,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0.0,,133603463,209.74%
Little Man,"USA, Canada",14 Jul 2006,"Revolution Studios, Wayan Bros. Entertainment, Sony Pictures Entertainment",4.4,26,6%,2006,8910100,64000000,58636047,43000000,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0.0,,101636047,158.81%
We Are Marshall,USA,22 Dec 2006,"Thunder Road Productions, Warner Bros., Wonderland Sound and Vision, Legendary Pictures",7.1,53,71%,2006,12750100,65000000,43545364,0,PG,Dramatization,Based on Real Life Events,Live Action,Drama,0.0,,43545364,66.99%
World Trade Center,USA,09 Aug 2006,"Paramount Pictures, Intermedia Films, Double Feature Films",5.9,66,56%,2006,7030100,65000000,70278893,93016761,PG-13,Dramatization,Based on Real Life Events,Live Action,Drama,0.0,129.0,163295654,251.22%
The Guardian,USA,29 Sep 2006,"Touchstone Pictures, Firm Films, Beacon Pictures",6.9,53,75%,2006,9740100,70000000,55011732,39961808,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Action,0.0,139.0,94973540,135.68%
Basic Instinct 2,"UK, Germany, Spain, USA",31 Mar 2006,Intermedia Productions,4.4,26,25%,2006,44650100,70000000,5946136,29471026,R,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,1.0,114.0,35417162,50.60%
Talladega Nights: The Ballad of Ricky Bobby,USA,04 Aug 2006,"Apatow Productions, High, Wide and Handsome Inc.",6.6,66,78%,2006,1870100,73000000,148213377,14657148,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0.0,104.0,162870525,223.11%
Ice Age: The Meltdown,USA,31 Mar 2006,"Fox Animation Studios, 20th Century Fox",6.8,58,92%,2006,1000100,75000000,195330621,456568661,PG,Kids Fiction,Original Screenplay,Digital Animation,Adventure,1.0,91.0,651899282,869.20%
Monster House,USA,21 Jul 2006,ImageMovers,6.6,68,21%,2006,6580100,75000000,73661010,67606360,PG,Kids Fiction,Original Screenplay,Digital Animation,Adventure,0.0,91.0,141267370,188.36%
Lady in the Water,USA,21 Jul 2006,"Blinding Edge Pictures, Legendary Pictures, Warner Bros.",5.5,36,50%,2006,13140100,75000000,42285169,30500000,PG-13,Fantasy,Original Screenplay,Live Action,Drama,0.0,110.0,72785169,97.05%
Dreamgirls,USA,25 Dec 2006,"DreamWorks SKG, Paramount",6.5,76,34%,2006,3960100,75000000,103365956,52342739,PG-13,Historical Fiction,Based on Musical or Opera,Live Action,Musical,0.0,130.0,155708695,207.61%
Children of Men,"USA, UK, Japan",05 Jan 2007,Beacon Communications,7.9,84,78%,2006,15960100,76000000,35552383,34292628,R,Science Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,0.0,109.0,69845011,91.90%
The Pink Panther,"USA, Czech Republic",10 Feb 2006,Metro Goldwyn Mayer,5.7,38,76%,2006,5570100,80000000,82226474,76700000,PG,Historical Fiction,,Live Action,Adventure,1.0,93.0,158926474,198.66%
The Wild,"Canada, USA",14 Apr 2006,Heimatfilm,5.3,47,50%,2006,15160100,80000000,37384046,61626621,G,Contemporary Fiction,Original Screenplay,Digital Animation,Adventure,0.0,82.0,99010667,123.76%
Déjà Vu,USA,22 Apr 1998,N/A,7.1,N/A,36%,2006,8000100,80000000,64038616,117000000,PG-13,Science Fiction,Original Screenplay,Live Action,Thriller/Suspense,0.0,126.0,181038616,226.30%
Click,USA,23 Jun 2006,"Columbia Pictures Film Production Asia, Revolution Studios",6.4,45,48%,2006,2280100,82500000,137355633,100329456,PG-13,Fantasy,Original Screenplay,Live Action,Comedy,0.0,106.0,237685089,288.10%
Charlotte's Web,"USA, Germany, Australia",15 Dec 2006,"Nickelodeon Movies, Paramount Pictures, Walden Media, Kerner Entertainment",6.3,68,91%,2006,5470100,82500000,82985708,61000000,G,Fantasy,Based on Fiction Book/Short Story,Live Action,Drama,0.0,97.0,143985708,174.53%
Happy Feet,"USA, Australia",17 Nov 2006,"Village Roadshow Prod., Kennedy Miller Productions",6.4,77,63%,2006,980100,85000000,198000317,187000000,PG,Kids Fiction,Original Screenplay,Digital Animation,Adventure,0.0,108.0,385000317,452.94%
The Holiday,USA,08 Dec 2006,Waverly Films,6.9,52,38/100,2006,8200100,85000000,63280000,141910324,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy,0.0,135.0,205190324,241.40%
The Fast and the Furious: Tokyo Drift,"USA, Germany, Japan",16 Jun 2006,"Universal Pictures, Original Film",6.0,45,95%,2006,8290100,85000000,62615510,95178695,PG-13,Contemporary Fiction,Based on Factual Book/Article,Live Action,Action,1.0,104.0,157794205,185.64%
Open Season,USA,29 Sep 2006,"Columbia Pictures, Sony Pictures Animation",6.1,49,43%,2006,5270100,85000000,85105259,106826899,PG,Kids Fiction,Original Screenplay,Digital Animation,Adventure,0.0,86.0,191932158,225.80%
The Departed,"USA, Hong Kong",06 Oct 2006,"Plan B Entertainment, Warner Bros., Initial Entertainment Group, Vertigo",8.5,85,26%,2006,2450100,90000000,132384315,157276304,R,Contemporary Fiction,Remake,Live Action,Drama,0.0,151.0,289660619,321.85%
Blood Diamond,"USA, Germany, UK",08 Dec 2006,"Virtual Studios, Warner Bros., Spring Creek Productions, Bedford Falls Productions",8.0,64,47%,2006,9180100,100000000,57377916,114000000,R,Historical Fiction,Original Screenplay,Live Action,Action,0.0,143.0,171377916,171.38%
Eragon,"USA, UK, Hungary",15 Dec 2006,N/A,5.1,38,73%,2006,6450100,100000000,75030163,174457952,PG,Fantasy,Based on Fiction Book/Short Story,Animation/Live Action,Adventure,0.0,,249488115,249.49%
Casino Royale,"UK, Czech Republic, USA, Germany, Bahamas",17 Nov 2006,"Eon Productions Ltd., Sony Pictures Entertainment, Metro-Goldwyn-Mayer",8.0,80,71%,2006,1490100,102000000,167365000,427055283,PG-13,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Action,1.0,144.0,594420283,582.76%
Night at the Museum,"USA, UK",22 Dec 2006,"20th Century Fox, 21 Laps Entertainment, 1492 Pictures",6.4,48,50%,2006,510100,110000000,250863268,328583139,PG,Kids Fiction,Based on Fiction Book/Short Story,Live Action,Adventure,0.0,108.0,579446407,526.77%
The Da Vinci Code,"USA, Malta, France, UK",19 May 2006,"Imagine Entertainment, Sony Pictures Entertainment",6.6,46,33%,2006,750100,125000000,217536138,550284321,PG-13,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,0.0,152.0,767820459,614.26%
Miami Vice,"USA, Germany",28 Jul 2006,"Universal Pictures, Michael Mann Productions",6.0,65,57%,2006,8150100,135000000,63478838,100339718,R,Contemporary Fiction,Based on TV,Live Action,Action,0.0,132.0,163818556,121.35%
Flushed Away,"UK, USA",03 Nov 2006,"Aardman Animations, DreamWorks Animation, DreamWorks SKG",6.6,74,53%,2006,7910100,149000000,64665672,114691454,PG,Kids Fiction,Original Screenplay,Digital Animation,Adventure,0.0,85.0,179357126,120.37%
Mission: Impossible III,"USA, Germany, China, Italy",05 May 2006,"Cruise-Wagner Productions, Paramount Pictures",6.9,66,75%,2006,2430100,150000000,133501348,264000000,PG-13,Contemporary Fiction,Based on TV,Live Action,Action,1.0,126.0,397501348,265.00%
Bee Movie,"USA, Australia",02 Nov 2007,DreamWorks SKG,6.1,54,19%,2006,2760100,150000000,126631277,160963300,PG,Kids Fiction,Original Screenplay,Digital Animation,Adventure,0.0,90.0,287594577,191.73%
Poseidon,USA,12 May 2006,"Warner Brothers, Next Entertainment Inc., Virtual Studios",5.7,50,90%,2006,8530100,160000000,60674817,121000000,PG-13,Contemporary Fiction,Remake,Live Action,Adventure,0.0,,181674817,113.55%
X-Men: The Last Stand,"USA, UK, Canada",26 May 2006,"Twentieth Century Fox, Marvel Enterprises",6.7,58,16%,2006,620100,210000000,234362462,224898484,PG-13,Super Hero,Based on Comic/Graphic Novel,Live Action,Action,1.0,104.0,459260946,218.70%
Superman Returns,USA,28 Jun 2006,Warner Bros.,6.0,72,75%,2006,940100,232000000,200120000,173965065,PG-13,Super Hero,Based on Comic/Graphic Novel,Live Action,Adventure,0.0,150.0,374085065,161.24%
Saw IV,"Canada, USA",26 Oct 2007,Twisted Pictures,5.9,36,63%,2007,8190100,10000000,63300095,72459599,R,Contemporary Fiction,Original Screenplay,Live Action,Horror,1.0,95.0,135759694,1357.60%
Rescue Dawn,"USA, Luxembourg",27 Jul 2007,Gibraltar Entertainment and Production LLC,7.3,77,14%,2007,45640100,10000000,5490423,1547463,PG-13,Historical Fiction,Based on Real Life Events,Live Action,Action,0.0,126.0,7037886,70.38%
The Brothers Solomon,USA,07 Sep 2007,Carsey-Werner Films,5.3,32,89%,2007,62560100,10000000,900926,0,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0.0,,900926,9.01%
Severance,"UK, Germany, Hungary",25 Aug 2006,"Qwerty Films, UK Film Council",6.5,62,16%,2007,78300100,10000000,137221,5812781,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0.0,,5950002,59.50%
White Noise 2: The Light,"USA, Canada",05 Jan 2007,"Gold Circle Films, Brightlight Pictures Inc.",5.7,N/A,44%,2007,124110100,10000000,0,8243567,PG-13,Fantasy,Original Screenplay,Live Action,Horror,1.0,,8243567,82.44%
King of California,USA,12 Sep 2007,"Emmett/Furla Films, Millennium Films, Michael London Productions",6.6,63,65%,2007,72740100,10000000,268461,896641,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Drama,0.0,,1165102,11.65%
Blonde Ambition,USA,10 Jan 2008,Papa Joe Films,3.9,N/A,31%,2007,98160100,10000000,6422,1531057,PG-13,Contemporary Fiction,Remake,Live Action,Comedy,0.0,,1537479,15.37%
The Ten Commandments,USA,05 Oct 1956,Paramount Pictures,7.9,N/A,50%,2007,62060100,10000000,952820,99087,PG,Historical Fiction,Based on Religious Text,Digital Animation,Adventure,0.0,,1051907,10.52%
September Dawn,"USA, Canada",24 Aug 2007,"Voice Pictures Inc., September Dawn LLC",5.8,25,34%,2007,62540100,10100000,1066555,0,R,Dramatization,Based on Real Life Events,Live Action,Drama,0.0,110.0,1066555,10.56%
In the Land of Women,USA,20 Apr 2007,"Warner Independent Pictures, Anonymous Content, Castle Rock Entertainment",6.4,47,81%,2007,35540100,10500000,11052958,3087444,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0.0,97.0,14140402,134.67%
Jindabyne,Australia,20 Jul 2006,April Films,6.3,65,60%,2007,69130100,10800000,399879,2462665,R,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0.0,,2862544,26.51%
Gwoemul,South Korea,N/A,N/A,9.0,N/A,58%,2007,54910100,12000000,2201923,90416194,R,Science Fiction,Original Screenplay,Live Action,Action,0.0,119.0,92618117,771.82%
Trade,"Germany, USA, Mexico",18 Oct 2007,"Centropolis Entertainment, Reelmachine, VIP 4 Medienfonds",7.4,42,49/100,2007,74830100,12000000,214202,1299186,R,Dramatization,Based on Real Life Events,Live Action,Drama,0.0,,1513388,12.61%
Lars and the Real Girl,"USA, Canada",02 Nov 2007,Sidney Kimmel Entertainment,7.3,70,25%,2007,44640100,12500000,5956480,5320639,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0.0,106.0,11277119,90.22%
Resurrecting the Champ,USA,24 Aug 2007,Phoenix Pictures,6.7,55,96%,2007,51520100,13000000,3172382,88173,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Drama,0.0,111.0,3260555,25.08%
This Christmas,USA,21 Nov 2007,Rainforest Productions,6.3,63,66%,2007,11260100,13000000,49121934,611611,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Drama,0.0,118.0,49733545,382.57%
The Astronaut Farmer,USA,23 Feb 2007,"Spring Creek Productions, Polish Brothers Construction",6.3,55,48%,2007,35610100,13000000,11003643,137570,PG,Contemporary Fiction,Original Screenplay,Live Action,Drama,0.0,104.0,11141213,85.70%
The Mist,USA,21 Nov 2007,Darkwoods Productions,7.1,58,79%,2007,21050100,13000000,25593755,31595653,R,Science Fiction,Based on Fiction Book/Short Story,Live Action,Horror,0.0,126.0,57189408,439.92%
I Think I Love My Wife,"USA, India",16 Mar 2007,N/A,5.5,49,71%,2007,33550100,14000000,12559771,645640,R,Contemporary Fiction,Remake,Live Action,Romantic Comedy,0.0,94.0,13205411,94.32%
Stomp the Yard,USA,12 Jan 2007,Rainforest Productions,5.4,44,65/100,2007,8410100,14000000,61356221,14169497,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Drama,0.0,116.0,75525718,539.47%
Halloween,USA,27 Oct 1978,Falcon Films,7.8,87,11%,2007,8990100,15000000,58269151,19245250,R,Fantasy,Original Screenplay,Live Action,Horror,1.0,109.0,77514401,516.76%
Halloween,USA,27 Oct 1978,Falcon Films,7.8,87,11%,2018,264970100,10000000,159342015,93797291,R,Contemporary Fiction,Original Screenplay,Live Action,Horror,1.0,105.0,253139306,2531.39%
Black Snake Moan,USA,02 Mar 2007,Paramount Vantage,6.9,52,43%,2007,38270100,15000000,9396870,1554283,R,Contemporary Fiction,Original Screenplay,Live Action,Drama,0.0,118.0,10951153,73.01%
Why Did I Get Married?,USA,12 Oct 2007,"Capital Arts Entertainment, Lionsgate Films",5.9,54,31%,2007,9700100,15000000,55204525,729653,PG-13,Contemporary Fiction,Based on Play,Live Action,Romantic Comedy,0.0,118.0,55934178,372.89%
A Mighty Heart,"USA, UK",22 Jun 2007,"Paramount Vantage, Revolution Films, Plan B Entertainment",6.6,74,12%,2007,38530100,15000000,9176787,9976781,R,Dramatization,Based on Fiction Book/Short Story,Live Action,Drama,0.0,108.0,19153568,127.69%
28 Weeks Later,"UK, Spain",11 May 2007,"Sogecine, DNA Films, Fox Atomic, Figment Films, Koan Films",7.0,78,91%,2007,130270100,15000000,28638916,35593798,R,Science Fiction,Original Screenplay,Live Action,Horror,1.0,100.0,64232714,428.22%
The Great Debaters,USA,25 Dec 2007,N/A,7.5,65,65%,2007,18640100,15000000,30226144,35149,PG-13,Dramatization,Based on Real Life Events,Live Action,Drama,0.0,123.0,30261293,201.74%
Blood and Chocolate,"USA, UK, Germany, Romania",26 Jan 2007,"Lakeshore Entertainment, Metro Goldwyn Mayer",5.4,33,58%,2007,50540100,15000000,3526588,3024722,PG-13,Fantasy,Based on Fiction Book/Short Story,Live Action,Horror,0.0,98.0,6551310,43.68%
The Pirates Who Don't Do Anything: A VeggieTales Movie,USA,11 Jan 2008,Big Idea Productions Inc.,5.7,49,35%,2007,33030100,15000000,12981269,267175,G,Kids Fiction,Based on Short Film,Digital Animation,Adventure,1.0,85.0,13248444,88.32%
The Good Night,"UK, Germany, USA",18 Jan 2008,Grosvenor Park Productions,5.8,49,31%,2007,91240100,15000000,22441,0,R,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy,0.0,,22441,0.15%
Slow Burn,USA,13 Apr 2007,"GreeneStreet Films Inc., DEJ Productions",5.8,34,42%,2007,59620100,15500000,1237615,0,R,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0.0,93.0,1237615,7.98%
The Messengers,USA,02 Feb 2007,"Ghost House Pictures, Mandate Pictures, Columbia Pictures",5.4,34,88%,2007,16040100,16000000,35374833,18400000,PG-13,Fantasy,Original Screenplay,Live Action,Horror,0.0,90.0,53774833,336.09%
Hot Fuzz,"UK, France",20 Apr 2007,"Working Title Films, Universal Pictures, StudioCanal",7.8,81,94%,2007,22440100,16000000,23618786,58123832,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0.0,121.0,81742618,510.89%
Things We Lost in the Fire,"USA, UK, Canada",19 Oct 2007,"DreamWorks, Scamp Film and Theatre Ltd., Neal Street Productions",7.2,63,4%,2007,51200100,16000000,3287315,4832833,R,Contemporary Fiction,Original Screenplay,Live Action,Drama,0.0,119.0,8120148,50.75%
Becoming Jane,"UK, Ireland",10 Aug 2007,"Blueprint Pictures, Scion Films",7.0,55,64%,2007,26490100,16500000,18663911,20716965,PG,Dramatization,Based on Real Life Events,Live Action,Romantic Comedy,0.0,120.0,39380876,238.67%
Sydney White,USA,21 Sep 2007,Morgan Creek Productions,6.2,45,49%,2007,34490100,16500000,11892415,1743924,PG-13,Contemporary Fiction,Based on Folk Tale/Legend/Fairytale,Live Action,Comedy,0.0,108.0,13636339,82.64%
Smokin' Aces,"UK, France, USA",26 Jan 2007,"Working Title Films, Universal Pictures",6.7,45,20%,2007,15920100,17000000,35662731,21600709,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0.0,107.0,57263440,336.84%
Southland Tales,"France, Germany, USA",07 Dec 2007,Cherry Road Films LLC,5.4,44,83%,2007,72450100,17000000,275380,89227,R,Contemporary Fiction,Original Screenplay,Live Action,Musical,0.0,,364607,2.14%
Taxi 4,France,14 Feb 2007,"Apipoulaï, EuropaCorp, TF1 Films Production, ARP Sélection, Sofica Europacorp",5.6,N/A,69%,2007,120530100,17500000,0,60865364,,,,,,0.0,,60865364,347.80%
Superbad,USA,17 Aug 2007,Apatow Productions,7.6,76,18%,2007,2970100,17500000,121463226,48491916,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0.0,112.0,169955142,971.17%
Code Name: The Cleaner,USA,05 Jan 2007,"Bird and a Bear Entertainment, FilmEngine, Rat Entertainment",4.6,33,20%,2007,40120100,20000000,8135024,0,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0.0,91.0,8135024,40.68%
Reign Over Me,USA,23 Mar 2007,"3 Arts Entertainment, Sunlight Productions",7.4,61,2%,2007,25600100,20000000,19661987,420000,R,Historical Fiction,Original Screenplay,Live Action,Drama,0.0,124.0,20081987,100.41%
Nancy Drew,USA,15 Jun 2007,"Jerry Weintraub Productions, Warner Bros.",5.9,53,8%,2007,21080100,20000000,25584685,5119160,PG,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,0.0,97.0,30703845,153.52%
Dead Silence,USA,16 Mar 2007,"Twisted Pictures, Universal Pictures, Evolution Entertainment",6.2,34,67/100,2007,28530100,20000000,16574590,4040071,R,Contemporary Fiction,Original Screenplay,Live Action,Horror,0.0,90.0,20614661,103.07%
Into the Wild,USA,19 Oct 2007,"Paramount Vantage, Art Linson Productions, River Road",8.1,73,70%,2007,26730100,20000000,18354356,38468604,R,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0.0,149.0,56822960,284.11%
Disturbia,USA,13 Apr 2007,Montecito Picture Company,6.8,62,91%,2007,5850100,20000000,80818974,37718653,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0.0,97.0,118537627,592.69%
Georgia Rule,USA,11 May 2007,Morgan Creek Productions,5.8,25,69%,2007,26300100,20000000,18882880,1936721,R,Contemporary Fiction,Original Screenplay,Live Action,Drama,0.0,113.0,20819601,104.10%
The Kite Runner,"USA, China, UK, Afghanistan",11 Jan 2008,"Sidney Kimmel Entertainment, Neal Street Productions, MacDonald-Parkes",7.6,61,29%,2007,29470100,20000000,15800078,58380667,PG-13,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0.0,125.0,74180745,370.90%
Death Sentence,USA,31 Aug 2007,Twentieth Century Fox,6.8,36,80%,2007,38070100,20000000,9534258,7373573,R,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Action,0.0,105.0,16907831,84.54%
Epic Movie,USA,26 Jan 2007,"Regency Enterprises, 20th Century Fox, New Regency Pictures",2.4,17,74%,2007,14120100,20000000,39739367,47119211,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0.0,86.0,86858578,434.29%
Premonition,USA,16 Mar 2007,"Premonition Pictures, Metro Goldwyn Mayer, Hyde Park Entertainment, TriStar Pictures",5.9,29,24%,2007,11600100,20000000,47852604,33608739,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0.0,97.0,81461343,407.31%
Death at a Funeral,"USA, Germany, UK, Netherlands",07 Sep 2007,N/A,7.4,67,28%,2007,39500100,20000000,8580428,38210000,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0.0,91.0,46790428,233.95%
Death at a Funeral,"USA, Germany, UK, Netherlands",07 Sep 2007,N/A,7.4,67,28%,2010,105280100,21000000,42739347,6237886,R,Contemporary Fiction,Remake,Live Action,Comedy,0.0,92.0,48977233,233.22%
Death at a Funeral,"USA, Germany, UK, Netherlands",07 Sep 2007,"Jerry Leider Company, Videofilmes Producoes Artisticas, MK2 Films",6.1,56,71%,2007,39500100,20000000,8580428,38210000,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0.0,91.0,46790428,233.95%
Death at a Funeral,"USA, Germany, UK, Netherlands",07 Sep 2007,"Jerry Leider Company, Videofilmes Producoes Artisticas, MK2 Films",6.1,56,71%,2010,105280100,21000000,42739347,6237886,R,Contemporary Fiction,Remake,Live Action,Comedy,0.0,92.0,48977233,233.22%
Freedom Writers,"Germany, USA",05 Jan 2007,"MTV Films, Jersey Films, Double Feature Films, Paramount Pictures",7.5,64,36/100,2007,15510100,21000000,36605602,7027007,PG-13,Dramatization,Based on Fiction Book/Short Story,Live Action,Drama,0.0,122.0,43632609,207.77%
